datetime,temperature
3/4/2018 16:08,29.352
3/4/2018 16:38,29.352
3/4/2018 17:08,29.652
3/4/2018 17:38,29.953
3/4/2018 18:08,29.953
3/4/2018 18:38,29.953
3/4/2018 19:08,30.154
3/4/2018 19:38,30.154
3/4/2018 20:08,30.154
3/4/2018 20:38,29.953
3/4/2018 21:08,29.752
3/4/2018 21:38,29.552
3/4/2018 22:08,29.252
3/4/2018 22:38,29.053
3/4/2018 23:08,28.853
3/4/2018 23:38,28.555
4/4/2018 0:08,28.357
4/4/2018 0:38,28.258
4/4/2018 1:08,28.06
4/4/2018 1:38,27.961
4/4/2018 2:08,27.862
4/4/2018 2:38,27.665
4/4/2018 3:08,27.567
4/4/2018 3:38,27.468
4/4/2018 4:08,27.272
4/4/2018 4:38,27.173
4/4/2018 5:08,27.075
4/4/2018 5:38,26.977
4/4/2018 6:08,26.879
4/4/2018 6:38,26.781
4/4/2018 7:08,26.683
4/4/2018 7:38,26.781
4/4/2018 8:08,26.879
4/4/2018 8:38,26.977
4/4/2018 9:08,27.173
4/4/2018 9:38,27.37
4/4/2018 10:08,27.567
4/4/2018 10:38,27.862
4/4/2018 11:08,28.06
4/4/2018 11:38,28.258
4/4/2018 12:08,28.456
4/4/2018 12:38,28.853
4/4/2018 13:08,29.152
4/4/2018 13:38,29.352
4/4/2018 14:08,29.652
4/4/2018 14:38,29.953
4/4/2018 15:08,29.853
4/4/2018 15:38,30.054
4/4/2018 16:08,30.154
4/4/2018 16:38,30.255
4/4/2018 17:08,30.356
4/4/2018 17:38,30.457
4/4/2018 18:08,30.659
4/4/2018 18:38,30.963
4/4/2018 19:08,30.963
4/4/2018 19:38,30.862
4/4/2018 20:08,30.76
4/4/2018 20:38,30.659
4/4/2018 21:08,30.457
4/4/2018 21:38,30.457
4/4/2018 22:08,30.154
4/4/2018 22:38,29.953
4/4/2018 23:08,29.752
4/4/2018 23:38,29.552
5/4/2018 0:08,29.352
5/4/2018 0:38,29.152
5/4/2018 1:08,28.953
5/4/2018 1:38,28.754
5/4/2018 2:08,28.555
5/4/2018 2:38,28.357
5/4/2018 3:08,28.258
5/4/2018 3:38,28.06
5/4/2018 4:08,27.862
5/4/2018 4:38,27.665
5/4/2018 5:08,27.468
5/4/2018 5:38,27.37
5/4/2018 6:08,27.173
5/4/2018 6:38,27.075
5/4/2018 7:08,26.977
5/4/2018 7:38,26.879
5/4/2018 8:08,26.781
5/4/2018 8:38,28.456
5/4/2018 9:08,26.977
5/4/2018 9:38,26.977
5/4/2018 10:08,27.173
5/4/2018 10:38,27.468
5/4/2018 11:08,27.764
5/4/2018 11:38,28.159
5/4/2018 12:08,28.655
5/4/2018 12:38,29.053
5/4/2018 13:08,29.452
5/4/2018 13:38,30.054
5/4/2018 14:08,30.457
5/4/2018 14:38,30.862
5/4/2018 15:08,31.166
5/4/2018 15:38,31.37
5/4/2018 16:08,31.778
5/4/2018 16:38,31.983
5/4/2018 17:08,32.188
5/4/2018 17:38,32.291
5/4/2018 18:08,32.291
5/4/2018 18:38,32.188
5/4/2018 19:08,31.88
5/4/2018 19:38,31.676
5/4/2018 20:08,31.268
5/4/2018 20:38,30.862
5/4/2018 21:08,30.558
5/4/2018 21:38,30.255
5/4/2018 22:08,29.953
5/4/2018 22:38,29.652
5/4/2018 23:08,29.452
5/4/2018 23:38,29.252
6/4/2018 0:08,28.953
6/4/2018 0:38,28.754
6/4/2018 1:08,28.555
6/4/2018 1:38,28.357
6/4/2018 2:08,28.159
6/4/2018 2:38,27.961
6/4/2018 3:08,27.665
6/4/2018 3:38,27.567
6/4/2018 4:08,27.37
6/4/2018 4:38,27.173
6/4/2018 5:08,26.977
6/4/2018 5:38,26.781
6/4/2018 6:08,26.683
6/4/2018 6:38,26.488
6/4/2018 7:08,26.39
6/4/2018 7:38,26.488
6/4/2018 8:08,26.683
6/4/2018 8:38,26.879
6/4/2018 9:08,27.272
6/4/2018 9:38,27.764
6/4/2018 10:08,28.06
6/4/2018 10:38,28.456
6/4/2018 11:08,28.853
6/4/2018 11:38,29.352
6/4/2018 12:08,29.853
6/4/2018 12:38,30.457
6/4/2018 13:08,31.064
6/4/2018 13:38,31.778
6/4/2018 14:08,32.086
6/4/2018 14:38,32.291
6/4/2018 15:08,32.704
6/4/2018 15:38,32.807
6/4/2018 16:08,33.014
6/4/2018 16:38,33.222
6/4/2018 17:08,33.118
6/4/2018 17:38,32.911
6/4/2018 18:08,32.6
6/4/2018 18:38,32.291
6/4/2018 19:08,31.778
6/4/2018 19:38,31.37
6/4/2018 20:08,30.862
6/4/2018 20:38,30.457
6/4/2018 21:08,30.154
6/4/2018 21:38,29.752
6/4/2018 22:08,29.452
6/4/2018 22:38,29.152
6/4/2018 23:08,28.853
6/4/2018 23:38,28.555
7/4/2018 0:08,28.357
7/4/2018 0:38,28.159
7/4/2018 1:08,27.961
7/4/2018 1:38,27.764
7/4/2018 2:08,27.567
7/4/2018 2:38,27.468
7/4/2018 3:08,27.173
7/4/2018 3:38,27.075
7/4/2018 4:08,26.879
7/4/2018 4:38,26.781
7/4/2018 5:08,26.585
7/4/2018 5:38,26.488
7/4/2018 6:08,26.39
7/4/2018 6:38,26.292
7/4/2018 7:08,26.292
7/4/2018 7:38,26.39
7/4/2018 8:08,26.585
7/4/2018 8:38,26.879
7/4/2018 9:08,27.37
7/4/2018 9:38,27.764
7/4/2018 10:08,28.159
7/4/2018 10:38,28.655
7/4/2018 11:08,29.152
7/4/2018 11:38,29.552
7/4/2018 12:08,30.154
7/4/2018 12:38,30.659
7/4/2018 13:08,31.166
7/4/2018 13:38,31.574
7/4/2018 14:08,32.188
7/4/2018 14:38,32.6
7/4/2018 15:08,32.911
7/4/2018 15:38,33.118
7/4/2018 16:08,33.222
7/4/2018 16:38,33.535
7/4/2018 17:08,33.326
7/4/2018 17:38,33.014
7/4/2018 18:08,32.6
7/4/2018 18:38,32.086
7/4/2018 19:08,31.37
7/4/2018 19:38,30.862
7/4/2018 20:08,30.558
7/4/2018 20:38,30.154
7/4/2018 21:08,29.953
7/4/2018 21:38,29.552
7/4/2018 22:08,29.252
7/4/2018 22:38,28.853
7/4/2018 23:08,28.555
7/4/2018 23:38,28.258
8/4/2018 0:08,28.06
8/4/2018 0:38,27.862
8/4/2018 1:08,27.665
8/4/2018 1:38,27.468
8/4/2018 2:08,27.37
8/4/2018 2:38,27.173
8/4/2018 3:08,26.977
8/4/2018 3:38,26.781
8/4/2018 4:08,26.585
8/4/2018 4:38,26.39
8/4/2018 5:08,26.195
8/4/2018 5:38,26.097
8/4/2018 6:08,25.902
8/4/2018 6:38,25.805
8/4/2018 7:08,25.805
8/4/2018 7:38,25.902
8/4/2018 8:08,26.097
8/4/2018 8:38,26.292
8/4/2018 9:08,26.683
8/4/2018 9:38,27.173
8/4/2018 10:08,27.961
8/4/2018 10:38,28.655
8/4/2018 11:08,29.053
8/4/2018 11:38,29.352
8/4/2018 12:08,29.752
8/4/2018 12:38,30.356
8/4/2018 13:08,30.963
8/4/2018 13:38,31.268
8/4/2018 14:08,31.676
8/4/2018 14:38,31.778
8/4/2018 15:08,31.983
8/4/2018 15:38,32.188
8/4/2018 16:08,32.394
8/4/2018 16:38,32.6
8/4/2018 17:08,32.704
8/4/2018 17:38,31.778
8/4/2018 18:08,29.252
8/4/2018 18:38,28.754
8/4/2018 19:08,27.764
8/4/2018 19:38,27.272
8/4/2018 20:08,27.075
8/4/2018 20:38,26.879
8/4/2018 21:08,26.683
8/4/2018 21:38,26.39
8/4/2018 22:08,26.195
8/4/2018 22:38,26
8/4/2018 23:08,25.805
8/4/2018 23:38,25.708
9/4/2018 0:08,25.513
9/4/2018 0:38,25.222
9/4/2018 1:08,25.028
9/4/2018 1:38,24.738
9/4/2018 2:08,24.545
9/4/2018 2:38,24.351
9/4/2018 3:08,24.158
9/4/2018 3:38,24.062
9/4/2018 4:08,23.966
9/4/2018 4:38,23.966
9/4/2018 5:08,23.869
9/4/2018 5:38,23.869
9/4/2018 6:08,23.773
9/4/2018 6:38,23.773
9/4/2018 7:08,23.773
9/4/2018 7:38,23.869
9/4/2018 8:08,24.062
9/4/2018 8:38,24.255
9/4/2018 9:08,24.448
9/4/2018 9:38,24.738
9/4/2018 10:08,25.125
9/4/2018 10:38,25.61
9/4/2018 11:08,26.292
9/4/2018 11:38,26.977
9/4/2018 12:08,27.764
9/4/2018 12:38,28.555
9/4/2018 13:08,29.053
9/4/2018 13:38,29.752
9/4/2018 14:08,30.76
9/4/2018 14:38,31.166
9/4/2018 15:08,31.37
9/4/2018 15:38,31.983
9/4/2018 16:08,32.086
9/4/2018 16:38,32.188
9/4/2018 17:08,32.188
9/4/2018 17:38,31.983
9/4/2018 18:08,31.676
9/4/2018 18:38,31.166
9/4/2018 19:08,30.76
9/4/2018 19:38,30.356
9/4/2018 20:08,30.054
9/4/2018 20:38,29.652
9/4/2018 21:08,29.452
9/4/2018 21:38,29.152
9/4/2018 22:08,28.853
9/4/2018 22:38,28.555
9/4/2018 23:08,28.258
9/4/2018 23:38,28.06
10/4/2018 0:08,27.764
10/4/2018 0:38,27.567
10/4/2018 1:08,27.37
10/4/2018 1:38,27.272
10/4/2018 2:08,27.075
10/4/2018 2:38,26.879
10/4/2018 3:08,26.683
10/4/2018 3:38,26.488
10/4/2018 4:08,26.39
10/4/2018 4:38,26.292
10/4/2018 5:08,26.097
10/4/2018 5:38,26
10/4/2018 6:08,25.902
10/4/2018 6:38,25.708
10/4/2018 7:08,25.708
10/4/2018 7:38,25.805
10/4/2018 8:08,26
10/4/2018 8:38,26.292
10/4/2018 9:08,26.585
10/4/2018 9:38,26.879
10/4/2018 10:08,27.272
10/4/2018 10:38,27.764
10/4/2018 11:08,28.258
10/4/2018 11:38,28.853
10/4/2018 12:08,29.452
10/4/2018 12:38,29.853
10/4/2018 13:08,30.356
10/4/2018 13:38,30.862
10/4/2018 14:08,31.37
10/4/2018 14:38,31.676
10/4/2018 15:08,31.778
10/4/2018 15:38,31.778
10/4/2018 16:08,31.88
10/4/2018 16:38,31.983
10/4/2018 17:08,31.88
10/4/2018 17:38,31.778
10/4/2018 18:08,31.676
10/4/2018 18:38,31.472
10/4/2018 19:08,31.166
10/4/2018 19:38,30.862
10/4/2018 20:08,30.558
10/4/2018 20:38,30.154
10/4/2018 21:08,29.853
10/4/2018 21:38,29.552
10/4/2018 22:08,29.252
10/4/2018 22:38,28.953
10/4/2018 23:08,28.754
10/4/2018 23:38,28.555
11/4/2018 0:08,28.258
11/4/2018 0:38,28.06
11/4/2018 1:08,27.862
11/4/2018 1:38,27.665
11/4/2018 2:08,27.468
11/4/2018 2:38,27.173
11/4/2018 3:08,26.977
11/4/2018 3:38,26.781
11/4/2018 4:08,26.683
11/4/2018 4:38,26.488
11/4/2018 5:08,26.39
11/4/2018 5:38,26.292
11/4/2018 6:08,26.195
11/4/2018 6:38,26
11/4/2018 7:08,26
11/4/2018 7:38,26.097
11/4/2018 8:08,26.292
11/4/2018 8:38,26.39
11/4/2018 9:08,26.879
11/4/2018 9:38,27.37
11/4/2018 10:08,28.06
11/4/2018 10:38,28.555
11/4/2018 11:08,28.754
11/4/2018 11:38,29.252
11/4/2018 12:08,29.652
11/4/2018 12:38,30.054
11/4/2018 13:08,30.558
11/4/2018 13:38,31.064
11/4/2018 14:08,31.574
11/4/2018 14:38,31.88
11/4/2018 15:08,31.983
11/4/2018 15:38,32.086
11/4/2018 16:08,32.086
11/4/2018 16:38,31.88
11/4/2018 17:08,31.574
11/4/2018 17:38,31.166
11/4/2018 18:08,30.76
11/4/2018 18:38,30.457
11/4/2018 19:08,30.054
11/4/2018 19:38,29.752
11/4/2018 20:08,29.452
11/4/2018 20:38,29.152
11/4/2018 21:08,28.853
11/4/2018 21:38,28.555
11/4/2018 22:08,28.357
11/4/2018 22:38,28.159
11/4/2018 23:08,27.961
11/4/2018 23:38,27.862
12/4/2018 0:08,27.764
12/4/2018 0:38,27.665
12/4/2018 1:08,27.567
12/4/2018 1:38,27.468
12/4/2018 2:08,27.272
12/4/2018 2:38,27.173
12/4/2018 3:08,27.075
12/4/2018 3:38,26.879
12/4/2018 4:08,26.683
12/4/2018 4:38,26.585
12/4/2018 5:08,26.39
12/4/2018 5:38,26.195
12/4/2018 6:08,26.097
12/4/2018 6:38,26
12/4/2018 7:08,26
12/4/2018 7:38,26.097
12/4/2018 8:08,26.292
12/4/2018 8:38,26.585
12/4/2018 9:08,26.977
12/4/2018 9:38,27.37
12/4/2018 10:08,27.961
12/4/2018 10:38,28.357
12/4/2018 11:08,28.853
12/4/2018 11:38,29.152
12/4/2018 12:08,29.752
12/4/2018 12:38,30.255
12/4/2018 13:08,30.862
12/4/2018 13:38,31.472
12/4/2018 14:08,32.086
12/4/2018 14:38,32.704
12/4/2018 15:08,33.014
12/4/2018 15:38,33.326
12/4/2018 16:08,33.43
12/4/2018 16:38,33.535
12/4/2018 17:08,33.535
12/4/2018 17:38,33.222
12/4/2018 18:08,32.6
12/4/2018 18:38,32.188
12/4/2018 19:08,31.778
12/4/2018 19:38,31.472
12/4/2018 20:08,31.166
12/4/2018 20:38,30.862
12/4/2018 21:08,30.356
12/4/2018 21:38,30.054
12/4/2018 22:08,29.752
12/4/2018 22:38,29.452
12/4/2018 23:08,29.152
12/4/2018 23:38,28.953
4/13/2018 0:08,28.853
4/13/2018 0:38,28.754
4/13/2018 1:08,28.456
4/13/2018 1:38,28.258
4/13/2018 2:08,28.06
4/13/2018 2:38,27.961
4/13/2018 3:08,27.764
4/13/2018 3:38,27.468
4/13/2018 4:08,27.272
4/13/2018 4:38,27.173
4/13/2018 5:08,27.075
4/13/2018 5:38,26.879
4/13/2018 6:08,26.781
4/13/2018 6:38,26.585
4/13/2018 7:08,26.585
4/13/2018 7:38,26.683
4/13/2018 8:08,26.781
4/13/2018 8:38,26.977
4/13/2018 9:08,27.37
4/13/2018 9:38,27.961
4/13/2018 10:08,28.357
4/13/2018 10:38,28.754
4/13/2018 11:08,29.152
4/13/2018 11:38,29.352
4/13/2018 12:08,29.953
4/13/2018 12:38,30.457
4/13/2018 13:08,31.064
4/13/2018 13:38,31.676
4/13/2018 14:08,32.188
4/13/2018 14:38,32.704
4/13/2018 15:08,33.118
4/13/2018 15:38,33.326
4/13/2018 16:08,33.535
4/13/2018 16:38,33.535
4/13/2018 17:08,33.953
4/13/2018 17:38,33.848
4/13/2018 18:08,33.639
4/13/2018 18:38,33.222
4/13/2018 19:08,32.394
4/13/2018 19:38,31.88
4/13/2018 20:08,31.37
4/13/2018 20:38,30.862
4/13/2018 21:08,30.457
4/13/2018 21:38,30.054
4/13/2018 22:08,29.752
4/13/2018 22:38,29.452
4/13/2018 23:08,29.152
4/13/2018 23:38,28.853
4/14/2018 0:08,28.754
4/14/2018 0:38,28.555
4/14/2018 1:08,28.357
4/14/2018 1:38,28.159
4/14/2018 2:08,27.862
4/14/2018 2:38,27.764
4/14/2018 3:08,27.567
4/14/2018 3:38,27.468
4/14/2018 4:08,27.272
4/14/2018 4:38,27.173
4/14/2018 5:08,26.977
4/14/2018 5:38,26.781
4/14/2018 6:08,26.683
4/14/2018 6:38,26.585
4/14/2018 7:08,26.585
4/14/2018 7:38,26.683
4/14/2018 8:08,26.781
4/14/2018 8:38,27.075
4/14/2018 9:08,27.567
4/14/2018 9:38,28.159
4/14/2018 10:08,28.555
4/14/2018 10:38,29.252
4/14/2018 11:08,29.853
4/14/2018 11:38,30.154
4/14/2018 12:08,30.558
4/14/2018 12:38,31.268
4/14/2018 13:08,31.778
4/14/2018 13:38,32.188
4/14/2018 14:08,32.6
4/14/2018 14:38,33.118
4/14/2018 15:08,33.326
4/14/2018 15:38,33.43
4/14/2018 16:08,33.953
4/14/2018 16:38,34.058
4/14/2018 17:08,34.163
4/14/2018 17:38,33.43
4/14/2018 18:08,32.497
4/14/2018 18:38,31.88
4/14/2018 19:08,31.268
4/14/2018 19:38,30.862
4/14/2018 20:08,30.558
4/14/2018 20:38,30.255
4/14/2018 21:08,29.953
4/14/2018 21:38,29.552
4/14/2018 22:08,29.252
4/14/2018 22:38,29.053
4/14/2018 23:08,28.853
4/14/2018 23:38,28.655
4/15/2018 0:08,28.456
4/15/2018 0:38,28.258
4/15/2018 1:08,28.06
4/15/2018 1:38,27.961
4/15/2018 2:08,27.764
4/15/2018 2:38,27.567
4/15/2018 3:08,27.37
4/15/2018 3:38,27.173
4/15/2018 4:08,27.075
4/15/2018 4:38,26.977
4/15/2018 5:08,26.781
4/15/2018 5:38,26.683
4/15/2018 6:08,26.488
4/15/2018 6:38,26.39
4/15/2018 7:08,26.39
4/15/2018 7:38,26.488
4/15/2018 8:08,26.585
4/15/2018 8:38,26.879
4/15/2018 9:08,27.173
4/15/2018 9:38,27.567
4/15/2018 10:08,27.961
4/15/2018 10:38,28.357
4/15/2018 11:08,28.754
4/15/2018 11:38,29.352
4/15/2018 12:08,29.752
4/15/2018 12:38,30.457
4/15/2018 13:08,31.268
4/15/2018 13:38,31.472
4/15/2018 14:08,31.88
4/15/2018 14:38,32.291
4/15/2018 15:08,32.394
4/15/2018 15:38,32.807
4/15/2018 16:08,32.911
4/15/2018 16:38,33.014
4/15/2018 17:08,32.911
4/15/2018 17:38,32.807
4/15/2018 18:08,32.394
4/15/2018 18:38,31.778
4/15/2018 19:08,31.064
4/15/2018 19:38,30.457
4/15/2018 20:08,29.953
4/15/2018 20:38,29.452
4/15/2018 21:08,28.953
4/15/2018 21:38,28.555
4/15/2018 22:08,28.159
4/15/2018 22:38,27.862
4/15/2018 23:08,27.665
4/15/2018 23:38,27.37
4/16/2018 0:08,27.173
4/16/2018 0:38,26.879
4/16/2018 1:08,26.683
4/16/2018 1:38,26.39
4/16/2018 2:08,26.195
4/16/2018 2:38,25.902
4/16/2018 3:08,25.708
4/16/2018 3:38,25.416
4/16/2018 4:08,25.125
4/16/2018 4:38,24.835
4/16/2018 5:08,24.641
4/16/2018 5:38,24.351
4/16/2018 6:08,24.158
4/16/2018 6:38,23.966
4/16/2018 7:08,23.966
4/16/2018 7:38,24.158
4/16/2018 8:08,24.351
4/16/2018 8:38,24.641
4/16/2018 9:08,24.931
4/16/2018 9:38,25.319
4/16/2018 10:08,25.805
4/16/2018 10:38,26.097
4/16/2018 11:08,26.683
4/16/2018 11:38,27.37
4/16/2018 12:08,27.862
4/16/2018 12:38,28.655
4/16/2018 13:08,29.452
4/16/2018 13:38,30.356
4/16/2018 14:08,30.963
4/16/2018 14:38,31.676
4/16/2018 15:08,32.086
4/16/2018 15:38,32.394
4/16/2018 16:08,32.807
4/16/2018 16:38,32.911
4/16/2018 17:08,32.911
4/16/2018 17:38,32.394
4/16/2018 18:08,32.086
4/16/2018 18:38,31.574
4/16/2018 19:08,30.963
4/16/2018 19:38,30.255
4/16/2018 20:08,29.652
4/16/2018 20:38,29.152
4/16/2018 21:08,28.655
4/16/2018 21:38,28.258
4/16/2018 22:08,27.961
4/16/2018 22:38,27.665
4/16/2018 23:08,27.37
4/16/2018 23:38,27.075
4/17/2018 0:08,26.879
4/17/2018 0:38,26.683
4/17/2018 1:08,26.488
4/17/2018 1:38,26.195
4/17/2018 2:08,26.097
4/17/2018 2:38,25.902
4/17/2018 3:08,25.708
4/17/2018 3:38,25.513
4/17/2018 4:08,25.416
4/17/2018 4:38,25.222
4/17/2018 5:08,25.028
4/17/2018 5:38,24.931
4/17/2018 6:08,24.835
4/17/2018 6:38,24.738
4/17/2018 7:08,24.738
4/17/2018 7:38,25.028
4/17/2018 8:08,25.319
4/17/2018 8:38,25.61
4/17/2018 9:08,26
4/17/2018 9:38,26.781
4/17/2018 10:08,27.37
